Date,Open,High,Low,Close,Adj Close,Volume
1990-01-03,1824.000000,1824.000000,1824.000000,1824.000000,1824.000000,0
1990-01-04,1824.500000,1824.500000,1824.500000,1824.500000,1824.500000,0
1990-01-05,1801.800049,1801.800049,1801.800049,1801.800049,1801.800049,0
1990-01-08,1800.300049,1800.300049,1800.300049,1800.300049,1800.300049,0
1990-01-09,1806.800049,1806.800049,1806.800049,1806.800049,1806.800049,0
1990-01-10,1804.300049,1804.300049,1804.300049,1804.300049,1804.300049,0
1990-01-11,1814.500000,1814.500000,1814.500000,1814.500000,1814.500000,0
1990-01-12,1801.800049,1801.800049,1801.800049,1801.800049,1801.800049,0
1990-01-15,1781.300049,1781.300049,1781.300049,1781.300049,1781.300049,0
1990-01-16,1750.699951,1750.699951,1750.699951,1750.699951,1750.699951,0
1990-01-17,1761.500000,1761.500000,1761.500000,1761.500000,1761.500000,0
1990-01-18,1739.900024,1739.900024,1739.900024,1739.900024,1739.900024,0
1990-01-19,1752.500000,1752.500000,1752.500000,1752.500000,1752.500000,0
1990-01-22,1753.599976,1753.599976,1753.599976,1753.599976,1753.599976,0
1990-01-23,1745.099976,1745.099976,1745.099976,1745.099976,1745.099976,0
1990-01-24,1697.500000,1697.500000,1697.500000,1697.500000,1697.500000,0
1990-01-25,1710.199951,1710.199951,1710.199951,1710.199951,1710.199951,0
1990-01-26,1701.400024,1701.400024,1701.400024,1701.400024,1701.400024,0
1990-01-29,1714.099976,1714.099976,1714.099976,1714.099976,1714.099976,0
1990-01-30,1714.000000,1714.000000,1714.000000,1714.000000,1714.000000,0
1990-01-31,1715.900024,1715.900024,1715.900024,1715.900024,1715.900024,0
1990-02-01,1726.199951,1726.199951,1726.199951,1726.199951,1726.199951,0
1990-02-02,1752.300049,1752.300049,1752.300049,1752.300049,1752.300049,0
1990-02-05,1769.800049,1769.800049,1769.800049,1769.800049,1769.800049,0
1990-02-06,1770.599976,1770.599976,1770.599976,1770.599976,1770.599976,0
1990-02-07,1752.000000,1752.000000,1752.000000,1752.000000,1752.000000,0
1990-02-08,1772.199951,1772.199951,1772.199951,1772.199951,1772.199951,0
1990-02-09,1764.699951,1764.699951,1764.699951,1764.699951,1764.699951,0
1990-02-12,1751.300049,1751.300049,1751.300049,1751.300049,1751.300049,0
1990-02-13,1746.800049,1746.800049,1746.800049,1746.800049,1746.800049,0
1990-02-14,1746.400024,1746.400024,1746.400024,1746.400024,1746.400024,0
1990-02-15,1757.300049,1757.300049,1757.300049,1757.300049,1757.300049,0
1990-02-16,1769.300049,1769.300049,1769.300049,1769.300049,1769.300049,0
1990-02-19,1763.400024,1763.400024,1763.400024,1763.400024,1763.400024,0
1990-02-20,1740.500000,1740.500000,1740.500000,1740.500000,1740.500000,0
1990-02-21,1716.900024,1716.900024,1716.900024,1716.900024,1716.900024,0
1990-02-22,1724.500000,1724.500000,1724.500000,1724.500000,1724.500000,0
1990-02-23,1698.900024,1698.900024,1698.900024,1698.900024,1698.900024,0
1990-02-26,1681.300049,1681.300049,1681.300049,1681.300049,1681.300049,0
1990-02-27,1705.900024,1705.900024,1705.900024,1705.900024,1705.900024,0
1990-02-28,1692.300049,1692.300049,1692.300049,1692.300049,1692.300049,0
